Fecha Comportamiento_de_la_accion Diferencia_absoluta_open-high
2021-05-03 BAJA 100.15991200000008
2021-05-04 BAJA 56.10986299999922
2021-05-05 BAJA 84.15991200000008
2021-05-06 SUBE 8.02978499999972
2021-05-07 BAJA 39.27978600000006
2021-05-10 BAJA 92.51000999999997
2021-05-11 SUBE 14.090087999999923
2021-05-12 BAJA 56.0
2021-05-13 BAJA 42.37011699999994
2021-05-14 SUBE 5.96020499999986
2021-05-17 SUBE 22.36010699999997
2021-05-18 BAJA 79.71997099999999
2021-05-19 SUBE 2.9499510000000555
2021-05-20 SUBE 12.0
2021-05-21 BAJA 53.60986300000013
2021-05-24 SUBE 12.959961000000021
2021-05-25 BAJA 20.770019000000048
2021-05-26 BAJA 30.570067999999992
2021-05-27 BAJA 30.25
2021-05-28 BAJA 24.919922000000042
2021-06-01 BAJA 32.33007799999996
2021-06-02 SUBE 1.0100099999999657
2021-06-03 BAJA 27.429931000000124
2021-06-04 BAJA 14.780029000000013
2021-06-07 SUBE 9.989990000000034
2021-06-08 SUBE 15.419922000000042
2021-06-09 SUBE 16.430175999999847
2021-06-10 SUBE 1.350097999999889
2021-06-11 BAJA 19.75
2021-06-14 SUBE 1.1298829999996087
2021-06-15 BAJA 13.860107000000426
2021-06-16 SUBE 11.100097999999889
2021-06-17 SUBE 7.959960999999566
2021-06-18 SUBE 20.10009799999989
2021-06-21 BAJA 28.04003899999998
2021-06-22 SUBE 18.340088000000378
2021-06-23 BAJA 17.179932000000008
2021-06-24 BAJA 75.78002900000001
2021-06-25 BAJA 63.36010699999997
2021-06-28 SUBE 4.110106999999971
2021-06-29 SUBE 7.890135999999984
2021-06-30 BAJA 31.440186000000267
2021-07-01 BAJA 24.030029000000013
2021-07-02 SUBE 0.7399910000003729
2021-07-06 SUBE 9.73998999999958
2021-07-07 BAJA 37.61987299999964
2021-07-08 SUBE 28.580078000000412
2021-07-09 BAJA 28.659911999999622
2021-07-12 BAJA 38.73998999999958
2021-07-13 BAJA 95.71997099999999
2021-07-14 BAJA 35.979979999999614
2021-07-15 BAJA 64.19995100000051
2021-07-16 BAJA 72.43017600000076
2021-07-19 SUBE 0.6198729999996431
2021-07-20 SUBE 18.810059000000365
2021-07-21 SUBE 1.25
2021-07-22 SUBE 1.9899910000003729
2021-07-23 SUBE 9.470213999999942
2021-07-26 SUBE 12.260009999999966
2021-07-27 BAJA 72.11010699999997
2021-07-28 BAJA 28.09985400000005
2021-07-29 BAJA 38.03002899999956
2021-07-30 BAJA 40.549805000000106
2021-08-02 BAJA 27.439941999999974
2021-08-03 SUBE 24.760009999999966
2021-08-04 BAJA 34.15991199999962
2021-08-05 SUBE 13.010009999999966
2021-08-06 BAJA 30.06005899999991
2021-08-09 BAJA 13.009765999999217
2021-08-10 BAJA 37.32006799999999
2021-08-11 BAJA 45.589844000000085
2021-08-12 SUBE 11.010009999999966
2021-08-13 BAJA 12.100097000000005
2021-08-16 SUBE 1.0100099999999657
2021-08-17 BAJA 38.53002900000001
2021-08-18 BAJA 52.8801269999999
2021-08-19 BAJA 45.25
2021-08-20 BAJA 7.860107999999855
2021-08-23 SUBE 15.02978499999972
2021-08-24 SUBE 9.709961000000021
2021-08-25 BAJA 21.820067999999992
2021-08-26 SUBE 16.0
2021-08-27 SUBE 2.6901850000003833
2021-08-30 SUBE 23.429932000000008
2021-08-31 SUBE 1.7900389999999788
2021-09-01 BAJA 48.0
2021-09-02 BAJA 48.83984399999963
2021-09-03 SUBE 4.619872999999643
2021-09-07 SUBE 18.8000490000004
2021-09-08 SUBE 20.12988299999961
2021-09-09 BAJA 65.83007800000041
2021-09-10 BAJA 39.30004899999949
2021-09-13 BAJA 40.79003899999998
2021-09-14 BAJA 36.810059000000365
2021-09-15 SUBE 9.629883000000063
2021-09-16 SUBE 4.310059000000365
2021-09-17 BAJA 34.889891999999236
2021-09-20 BAJA 63.270020000000386
2021-09-21 BAJA 36.07006799999999
2021-09-22 SUBE 8.9499509999996
2021-09-23 SUBE 12.959961000000021
2021-09-24 SUBE 3.7399899999995796
2021-09-27 SUBE 9.770018999999593
2021-09-28 BAJA 53.229979999999614
2021-09-29 BAJA 50.17993199999955
2021-09-30 BAJA 42.81005899999991
2021-10-01 BAJA 25.909912000000077
2021-10-04 BAJA 90.20996100000002
2021-10-05 SUBE 39.72998000000007
2021-10-06 SUBE 2.3300779999999577
2021-10-07 SUBE 23.320067999999992
2021-10-08 BAJA 32.80981499999962
2021-10-11 BAJA 46.29003899999998
2021-10-12 BAJA 20.199951000000056
2021-10-13 SUBE 4.0998539999995955
2021-10-14 BAJA 12.739990999999918
2021-10-15 SUBE 1.3999019999996563
2021-10-18 SUBE 2.429932000000008
2021-10-19 SUBE 10.540038999999524
2021-10-20 BAJA 47.800047999999606
2021-10-21 SUBE 5.2700190000000475
2021-10-22 BAJA 94.29003900000043
2021-10-25 BAJA 27.429931999999553
2021-10-26 SUBE 40.0500490000004
2021-10-27 SUBE 44.510009999999966
2021-10-28 SUBE 32.42993200000001
2021-10-29 SUBE 2.390135999999984
2021-11-01 BAJA 57.75
2021-11-02 BAJA 18.37011700000039
2021-11-03 SUBE 10.919922000000042
2021-11-04 SUBE 21.62988299999961
2021-11-05 SUBE 47.260009999999966
2021-11-08 BAJA 90.02002000000039
2021-11-09 SUBE 17.540040000000772
2021-11-10 BAJA 123.3999019999992
2021-11-11 BAJA 70.73999000000003
2021-11-12 SUBE 15.580077999999503
2021-11-15 SUBE 48.1999509999996
2021-11-16 SUBE 35.8000490000004
2021-11-17 BAJA 38.25
2021-11-18 SUBE 8.139891999999236
2021-11-19 BAJA 85.57983400000012
2021-11-22 BAJA 140.88989300000003
